Model Year,Mfr Name,Carline,Eng Displ,# Cyl,City FE,Hwy FE,Comb FE
2020,General Motors,SIERRA 4WD CAB CHASSIS,5.3,8,14,17,15
2020,FCA US LLC,Pacifica,3.6,6,19,28,22
2020,FCA US LLC,Voyager,3.6,6,19,28,22
2020,FCA US LLC,Grand Caravan,3.6,6,17,25,20
2020,Honda,ODYSSEY FWD,3.5,6,19,28,22
2020,Kia,Sedona,3.3,6,18,24,21
2020,Toyota,SIENNA,3.5,6,19,26,21
2020,FCA US LLC,Pacifica AWD,3.6,6,17,25,20
2020,Toyota,SIENNA AWD,3.5,6,18,24,20
2020,Honda,MDX FWD,3.5,6,20,27,23
2020,Honda,RDX FWD,2,4,22,28,24
2020,Honda,RDX FWD A-SPEC,2,4,22,27,24
2020,FCA US LLC,Stelvio,2,4,22,29,25
2020,BMW,X3 sDrive30i,2,4,25,29,27
2020,General Motors,ENCORE FWD,1.4,4,25,30,27
2020,General Motors,ENCORE GX FWD,1.2,3,26,30,28
2020,General Motors,ENCORE GX FWD,1.3,3,30,32,31
2020,General Motors,ENVISION FWD,2.5,4,22,29,25
2020,General Motors,XT4 FWD,2,4,24,30,26
2020,General Motors,XT5 FWD,2,4,21,28,24
2020,General Motors,XT5 FWD,3.6,6,18,26,21
2020,General Motors,XT6 FWD,3.6,6,18,25,20
2020,General Motors,BLAZER FWD,2,4,21,28,24
2020,General Motors,BLAZER FWD,2.5,4,21,27,23
2020,General Motors,BLAZER FWD,3.6,6,19,26,21
2020,General Motors,EQUINOX FWD,1.5,4,26,31,28
2020,General Motors,EQUINOX FWD,2,4,22,29,25
2020,General Motors,TRAX FWD,1.4,4,26,31,28
2020,FCA US LLC,Journey,2.4,4,19,25,21
2020,Ford Motor Company,ECOSPORT FWD,1,3,27,29,28
2020,Ford Motor Company,EDGE FWD,2,4,21,29,24
2020,Ford Motor Company,ESCAPE FWD,1.5,3,27,33,30
2020,Ford Motor Company,ESCAPE FWD HEV,2.5,4,44,37,41
2020,General Motors,TERRAIN FWD,1.5,4,26,30,27
2020,General Motors,TERRAIN FWD,2,4,22,28,24
2020,Honda,CR-V FWD,1.5,4,28,34,30
2020,Honda,PASSPORT FWD,3.5,6,20,25,22
2020,Honda,PILOT FWD,3.5,6,19,27,22
2020,Honda,PILOT FWD,3.5,6,20,27,23
2020,Hyundai,Kona FWD,1.6,4,28,32,30
2020,Hyundai,Kona FWD,2,4,27,33,30
2020,Hyundai,Santa Fe FWD,2,4,20,27,23
2020,Hyundai,Santa Fe FWD,2.4,4,22,29,25
2020,Hyundai,Tucson FWD,2,4,23,28,25
2020,Hyundai,Tucson FWD,2.4,4,22,28,25
2020,Nissan,QX50,2,4,23,29,26
2020,Nissan,QX60 FWD,3.5,6,20,27,22
2020,FCA US LLC,Cherokee FWD,2,4,23,31,26
2020,FCA US LLC,Cherokee FWD,2.4,4,22,31,25
2020,FCA US LLC,Cherokee FWD,3.2,6,20,29,23
2020,FCA US LLC,Compass 4X2,2.4,4,22,31,25
2020,FCA US LLC,Compass 4X2,2.4,4,23,32,26
2020,FCA US LLC,Renegade 4x2,1.3,4,24,32,27
2020,FCA US LLC,Renegade 4x2,2.4,4,22,30,25
2020,Kia,Sorento FWD,2.4,4,22,29,25
2020,Kia,Sorento FWD,3.3,6,19,26,22
2020,Kia,Sportage FWD,2,4,20,28,23
2020,Kia,Sportage FWD,2.4,4,23,30,26
2020,Kia,Telluride FWD,3.8,6,20,26,23
2020,Toyota,NX 300,2,4,22,28,25
2020,Toyota,RX 350,3.5,6,20,27,23
2020,Toyota,RX 350L,3.5,6,19,26,22
2020,Ford Motor Company,CORSAIR FWD,2,4,22,29,25
2020,Ford Motor Company,NAUTILUS FWD,2,4,21,26,23
2020,MAZDA,CX-30 2WD,2.5,4,25,33,28
2020,MAZDA,CX-30 2WD,2.5,4,25,33,28
2020,MAZDA,CX-5 2WD,2.5,4,25,31,28
2020,MAZDA,CX-9 2WD,2.5,4,22,28,24
2020,Mercedes-Benz,GLA 250,2,4,24,34,28
2020,Mercedes-Benz,GLC 300,2,4,22,29,24
2020,Mitsubishi Motors Co,ECLIPSE CROSS 2WD,1.5,4,25,28,26
2020,Mitsubishi Motors Co,ECLIPSE CROSS ES 2WD,1.5,4,26,29,27
2020,Mitsubishi Motors Co,OUTLANDER 2WD,2.4,4,25,30,27
2020,Mitsubishi Motors Co,OUTLANDER SPORT 2WD,2,4,24,30,27
2020,Mitsubishi Motors Co,OUTLANDER SPORT 2WD,2.4,4,23,29,25
2020,Nissan,PATHFINDER 2WD,3.5,6,20,27,23
2020,Nissan,ROGUE FWD,2.5,4,26,33,29
2020,Toyota,HIGHLANDER,3.5,6,20,28,23
2020,Toyota,HIGHLANDER,3.5,6,21,29,24
2020,Toyota,HIGHLANDER HYBRID,2.5,4,36,35,36
2020,Toyota,RAV4,2.5,4,27,35,30
2020,Toyota,RAV4,2.5,4,28,35,30
2020,Volkswagen Group of,Atlas,2,4,20,24,22
2020,Volkswagen Group of,Atlas,3.6,6,17,23,19
2020,Volkswagen Group of,Atlas Cross Sport,2,4,21,24,22
2020,Volkswagen Group of,Atlas Cross Sport,3.6,6,17,23,19
2020,Volkswagen Group of,Tiguan,2,4,22,29,25
2020,Volvo,XC40 FWD,2,4,23,33,27
2020,Volvo,XC60 FWD,2,4,22,29,24
2020,Honda,MDX AWD,3,6,26,27,27
2020,Honda,MDX AWD,3.5,6,19,26,22
2020,Honda,MDX AWD A-spec,3.5,6,19,25,21
2020,Honda,RDX AWD,2,4,21,27,23
2020,Honda,RDX AWD A-SPEC,2,4,21,26,23
2020,FCA US LLC,Stelvio AWD,2,4,22,28,24
2020,FCA US LLC,Stelvio AWD,2.9,6,17,23,19
2020,Volkswagen Group of,Q3 quattro,2,4,19,27,22
2020,Volkswagen Group of,Q5,2,4,22,28,24
2020,Volkswagen Group of,SQ5,3,6,18,23,20
2020,BMW,X3 M,3,6,14,19,16
2020,BMW,X3 M Competition,3,6,14,19,16
2020,BMW,X3 M40i,3,6,21,27,23
2020,BMW,X3 xDrive30i,2,4,24,29,26
2020,BMW,X4 M,3,6,14,19,16
2020,BMW,X4 M Competition,3,6,14,19,16
2020,BMW,X4 M40i,3,6,21,27,23
2020,BMW,X4 xDrive30i,2,4,23,28,25
2020,General Motors,ENCORE AWD,1.4,4,24,29,26
2020,General Motors,ENCORE GX AWD,1.3,3,26,29,28
2020,General Motors,ENVISION AWD,2,4,20,25,22
2020,General Motors,ENVISION AWD,2.5,4,21,27,24
2020,General Motors,XT4 AWD,2,4,22,29,24
2020,General Motors,XT5 AWD,2,4,21,26,23
2020,General Motors,XT5 AWD,3.6,6,18,25,20
2020,General Motors,XT6 AWD,3.6,6,17,24,20
2020,General Motors,BLAZER AWD,2,4,21,27,23
2020,General Motors,BLAZER AWD,3.6,6,18,25,21
2020,General Motors,EQUINOX AWD,1.5,4,25,30,27
2020,General Motors,EQUINOX AWD,2,4,22,28,24
2020,General Motors,TRAX AWD,1.4,4,24,29,26
2020,FCA US LLC,500X AWD,1.3,4,24,30,26
2020,Ford Motor Company,ECOSPORT AWD,2,4,23,29,25
2020,Ford Motor Company,EDGE AWD,2,4,21,28,23
2020,Ford Motor Company,EDGE AWD,2,4,21,28,23
2020,Ford Motor Company,EDGE AWD,2.7,6,19,26,21
2020,Ford Motor Company,ESCAPE AWD,1.5,3,26,31,28
2020,Ford Motor Company,ESCAPE AWD,2,4,23,31,26
2020,Ford Motor Company,ESCAPE AWD HEV,2.5,4,43,37,40
2020,General Motors,TERRAIN AWD,1.5,4,25,28,26
2020,General Motors,TERRAIN AWD,2,4,21,26,23
2020,Honda,CR-V AWD,1.5,4,27,32,29
2020,Honda,CR-V AWD,2,4,40,35,38
2020,Honda,PASSPORT AWD,3.5,6,19,24,21
2020,Honda,PILOT AWD,3.5,6,18,26,21
2020,Honda,PILOT AWD,3.5,6,19,26,22
2020,Hyundai,Kona AWD,1.6,4,26,29,27
2020,Hyundai,Kona AWD,2,4,26,30,28
2020,Hyundai,Santa Fe AWD,2,4,20,26,22
2020,Hyundai,Santa Fe AWD,2.4,4,21,27,24
2020,Hyundai,Tucson AWD,2,4,22,25,23
2020,Hyundai,Tucson AWD,2.4,4,21,26,23
2020,Nissan,QX50 AWD,2,4,22,28,25
2020,Nissan,QX60 AWD,3.5,6,19,26,22
2020,Jaguar Land Rover L,E-PACE,2,4,21,28,24
2020,Jaguar Land Rover L,E-PACE P300,2,4,21,27,23
2020,Jaguar Land Rover L,F-PACE,2,4,22,27,24
2020,Jaguar Land Rover L,F-PACE,3,6,18,23,20
2020,Jaguar Land Rover L,F-PACE,5,8,16,21,18
2020,Jaguar Land Rover L,F-PACE 30t,2,4,22,27,24
2020,FCA US LLC,Cherokee 4X4,2,4,21,29,24
2020,FCA US LLC,Cherokee 4X4,2.4,4,21,29,24
2020,FCA US LLC,Cherokee 4X4,3.2,6,19,27,22
2020,FCA US LLC,Cherokee 4x4 Active Drive II,2,4,20,27,23
2020,FCA US LLC,Cherokee 4x4 Active Drive II,3.2,6,18,26,21
2020,FCA US LLC,Cherokee Trailhawk 4X4,2,4,20,26,22
2020,FCA US LLC,Cherokee Trailhawk 4X4,3.2,6,18,24,21
2020,FCA US LLC,Compass 4X4,2.4,4,22,30,25
2020,FCA US LLC,Compass 4X4,2.4,4,22,31,25
2020,FCA US LLC,Renegade 4x4,1.3,4,23,29,26
2020,FCA US LLC,Renegade 4x4,2.4,4,21,29,24
2020,FCA US LLC,Renegade Trailhawk 4x4,1.3,4,22,27,24
2020,FCA US LLC,Wrangler 4x4,2,4,21,22,21
2020,FCA US LLC,Wrangler 4x4,2,4,22,24,23
2020,FCA US LLC,Wrangler 4x4,3.6,6,18,23,20
2020,FCA US LLC,Wrangler 4x4,3.6,6,17,25,20
2020,FCA US LLC,Wrangler Unlimited 4x4,2,4,21,22,21
2020,FCA US LLC,Wrangler Unlimited 4x4,2,4,21,22,21
2020,FCA US LLC,Wrangler Unlimited 4x4,3,6,22,29,25
2020,FCA US LLC,Wrangler Unlimited 4x4,3.6,6,19,22,20
2020,FCA US LLC,Wrangler Unlimited 4x4,3.6,6,18,22,20
2020,FCA US LLC,Wrangler Unlimited 4x4,3.6,6,17,23,19
2020,Kia,Sorento AWD,2.4,4,21,26,23
2020,Kia,Sorento AWD,3.3,6,18,24,20
2020,Kia,Sportage AWD,2,4,19,24,21
2020,Kia,Sportage AWD,2.4,4,22,26,23
2020,Kia,Telluride AWD,3.8,6,19,24,21
2020,Jaguar Land Rover L,Discovery Sport,2,4,19,24,21
2020,Jaguar Land Rover L,Discovery Sport MHEV,2,4,19,24,21
2020,Jaguar Land Rover L,Evoque,2,4,20,27,23
2020,Jaguar Land Rover L,Evoque MHEV,2,4,21,26,23
2020,Jaguar Land Rover L,Range Rover Velar,2,4,21,27,23
2020,Jaguar Land Rover L,Range Rover Velar,3,6,18,24,20
2020,Jaguar Land Rover L,Range Rover Velar,5,8,15,20,17
2020,Jaguar Land Rover L,Range Rover Velar P300,2,4,20,26,22
2020,Jaguar Land Rover L,Range Rover Velar P380,3,6,18,24,20
2020,Toyota,NX 300 AWD,2,4,22,28,24
2020,Toyota,NX 300 AWD F SPORT,2,4,22,27,24
2020,Toyota,NX 300h AWD,2.5,4,33,30,31
2020,Toyota,RX 350 AWD,3.5,6,19,26,22
2020,Toyota,RX 350L AWD,3.5,6,18,25,21
2020,Ford Motor Company,CORSAIR AWD,2,4,21,29,24
2020,Ford Motor Company,CORSAIR AWD,2.3,4,21,28,24
2020,Ford Motor Company,NAUTILUS AWD,2,4,20,25,22
2020,Ford Motor Company,NAUTILUS AWD,2.7,6,19,26,21
2020,MAZDA,CX-30 4WD,2.5,4,24,31,26
2020,MAZDA,CX-30 4WD,2.5,4,25,32,27
2020,MAZDA,CX-5 4WD,2.5,4,24,30,26
2020,MAZDA,CX-5 4WD,2.5,4,22,27,24
2020,MAZDA,CX-9 4WD,2.5,4,20,26,23
2020,Mercedes-Benz,AMG GLC 43 4MATIC,3,6,18,24,21
2020,Mercedes-Benz,AMG GLC 43 4MATIC (coupe),3,6,18,24,21
2020,Mercedes-Benz,AMG GLC 63 4MATIC+,4,8,16,22,18
2020,Mercedes-Benz,AMG GLC 63 4MATIC+ (coupe),4,8,16,22,18
2020,Mercedes-Benz,AMG GLC 63 S 4MATIC+ (coupe),4,8,16,22,18
2020,Mercedes-Benz,GLA 250 4MATIC,2,4,22,30,25
2020,Mercedes-Benz,GLB 250 4MATIC,2,4,23,31,26
2020,Mercedes-Benz,GLC 300 4MATIC,2,4,21,28,24
2020,Mercedes-Benz,GLC 300 4MATIC (Coupe),2,4,21,28,24
2020,Mercedes-Benz,GLE 350,2,4,20,27,22
2020,Mercedes-Benz,GLE 350 4MATIC,2,4,19,26,22
2020,Mitsubishi Motors Co,ECLIPSE CROSS 4WD,1.5,4,25,26,25
2020,Mitsubishi Motors Co,ECLIPSE CROSS ES 4WD,1.5,4,25,28,26
2020,Mitsubishi Motors Co,OUTLANDER 4WD,2.4,4,24,29,26
2020,Mitsubishi Motors Co,OUTLANDER 4WD,3,6,20,27,22
2020,Mitsubishi Motors Co,OUTLANDER SPORT 4WD,2,4,23,29,26
2020,Mitsubishi Motors Co,OUTLANDER SPORT 4WD,2.4,4,23,28,25
2020,Nissan,PATHFINDER 4WD,3.5,6,20,27,22
2020,Nissan,PATHFINDER 4WD PLATINUM,3.5,6,19,26,21
2020,Nissan,ROGUE AWD,2.5,4,25,32,27
2020,Porsche,Macan,2,4,19,23,21
2020,Porsche,Macan GTS,2.9,6,17,22,19
2020,Porsche,Macan S,3,6,18,23,20
2020,Porsche,Macan Turbo,2.9,6,17,22,19
2020,Subaru,CROSSTREK AWD,2,4,27,33,30
2020,Subaru,CROSSTREK AWD,2,4,22,29,25
2020,Subaru,FORESTER AWD,2.5,4,26,33,29
2020,Subaru,OUTBACK AWD,2.4,4,23,30,26
2020,Subaru,OUTBACK AWD,2.5,4,26,33,29
2020,Toyota,HIGHLANDER AWD,3.5,6,20,27,23
2020,Toyota,RAV4 AWD,2.5,4,25,33,28
2020,Toyota,RAV4 AWD,2.5,4,27,33,29
2020,Toyota,RAV4 AWD LE,2.5,4,27,34,30
2020,Toyota,RAV4 AWD TRD OFFROAD,2.5,4,25,32,27
2020,Toyota,RAV4 HYBRID AWD,2.5,4,41,38,40
2020,Volkswagen Group of,Atlas Cross Sport 4Motion,2,4,18,23,20
2020,Volkswagen Group of,Atlas Cross Sport 4Motion,3.6,6,16,22,19
2020,Volkswagen Group of,Tiguan 4Motion,2,4,20,27,23
2020,Volvo,XC40 AWD,2,4,22,30,25
2020,Volvo,XC60 AWD,2,4,20,27,23
2020,Volvo,XC60 AWD,2,4,20,27,23
2020,BMW,X5 sDrive40i,3,6,21,26,23
2020,BMW,X6 sDrive40i,3,6,21,26,23
2020,General Motors,ENCLAVE FWD,3.6,6,18,26,21
2020,General Motors,ESCALADE 2WD,6.2,8,14,23,17
2020,General Motors,C1500 SUBURBAN 2WD,5.3,8,15,22,18
2020,General Motors,C1500 SUBURBAN 2WD,5.3,8,15,22,18
2020,General Motors,C1500 SUBURBAN 2WD,6.2,8,14,23,17
2020,General Motors,C1500 TAHOE 2WD,5.3,8,15,22,18
2020,General Motors,C1500 TAHOE 2WD,5.3,8,15,22,18
2020,General Motors,C1500 TAHOE 2WD,6.2,8,14,23,17
2020,General Motors,TRAVERSE FWD,3.6,6,18,27,21
2020,FCA US LLC,Durango RWD,3.6,6,19,26,21
2020,FCA US LLC,Durango RWD,5.7,8,14,22,17
2020,Ford Motor Company,Expedition 2WD,3.5,6,17,23,19
2020,Ford Motor Company,Expedition MAX 2WD,3.5,6,17,23,19
2020,Ford Motor Company,EXPLORER HEV RWD,3.3,6,27,29,28
2020,Ford Motor Company,EXPLORER RWD,2.3,4,21,28,24
2020,General Motors,ACADIA FWD,2,4,21,28,24
2020,General Motors,ACADIA FWD,2.5,4,21,27,23
2020,General Motors,ACADIA FWD,3.6,6,19,27,22
2020,General Motors,C1500 YUKON 2WD,5.3,8,15,22,18
2020,General Motors,C1500 YUKON 2WD,5.3,8,15,22,18
2020,General Motors,C1500 YUKON 2WD,6.2,8,14,23,17
2020,General Motors,C1500 YUKON XL 2WD,5.3,8,15,22,18
2020,General Motors,C1500 YUKON XL 2WD,5.3,8,15,22,18
2020,General Motors,C1500 YUKON XL 2WD,6.2,8,14,23,17
2020,Hyundai,Palisade FWD,3.8,6,19,26,22
2020,Nissan,QX80 2WD,5.6,8,14,20,16
2020,FCA US LLC,Grand Cherokee 4X2,3.6,6,19,26,21
2020,Ford Motor Company,AVIATOR RWD,3,6,18,26,21
2020,Ford Motor Company,NAVIGATOR 2WD,3.5,6,16,22,19
2020,Ford Motor Company,NAVIGATOR L 2WD,3.5,6,16,21,18
2020,Nissan,ARMADA 2WD,5.6,8,14,19,16
2020,Toyota,4RUNNER 2WD,4,6,16,19,17
2020,Toyota,SEQUOIA 2WD,5.7,8,13,17,15
2020,Volvo,XC90 FWD,2,4,21,30,25
2020,Volkswagen Group of,Q7,2,4,19,23,21
2020,Volkswagen Group of,Q7,3,6,17,21,18
2020,Volkswagen Group of,Q8,3,6,17,21,18
2020,Volkswagen Group of,RS Q8,4,8,13,19,15
2020,Volkswagen Group of,SQ7,4,8,15,21,17
2020,Volkswagen Group of,SQ8,4,8,15,21,17
2020,Volkswagen Group of,Bentayga,4,8,14,23,17
2020,Volkswagen Group of,Bentayga,6,12,12,17,14
2020,BMW,X5 M,4.4,8,13,18,15
2020,BMW,X5 M Competition,4.4,8,13,18,15
2020,BMW,X5 M50i,4.4,8,16,22,18
2020,BMW,X5 xDrive40i,3,6,20,26,22
2020,BMW,X5 xDrive50i,4.4,8,16,22,18
2020,BMW,X6 M,4.4,8,13,18,15
2020,BMW,X6 M Competition,4.4,8,13,18,15
2020,BMW,X6 M50i,4.4,8,16,22,18
2020,BMW,X6 xDrive40i,3,6,20,26,22
2020,BMW,X7 M50i,4.4,8,15,21,17
2020,BMW,X7 xDrive40i,3,6,20,25,22
2020,BMW,X7 xDrive50i,4.4,8,15,21,17
2020,General Motors,ENCLAVE AWD,3.6,6,17,25,20
2020,General Motors,ESCALADE 4WD,6.2,8,14,21,17
2020,General Motors,K1500 SUBURBAN 4WD,5.3,8,14,21,16
2020,General Motors,K1500 SUBURBAN 4WD,5.3,8,14,21,16
2020,General Motors,K1500 SUBURBAN 4WD,6.2,8,14,20,16
2020,General Motors,K1500 TAHOE 4WD,5.3,8,15,21,17
2020,General Motors,K1500 TAHOE 4WD,5.3,8,15,21,17
2020,General Motors,K1500 TAHOE 4WD,6.2,8,14,22,17
2020,General Motors,TRAVERSE AWD,3.6,6,17,25,20
2020,FCA US LLC,Durango AWD,3.6,6,18,25,21
2020,FCA US LLC,Durango AWD,5.7,8,14,22,17
2020,FCA US LLC,Durango SRT AWD,6.4,8,13,19,15
2020,Ford Motor Company,Expedition 4WD,3.5,6,17,22,19
2020,Ford Motor Company,Expedition MAX 4WD,3.5,6,16,21,18
2020,Ford Motor Company,EXPLORER AWD,2.3,4,20,27,23
2020,Ford Motor Company,EXPLORER AWD,3,6,18,24,20
2020,Ford Motor Company,EXPLORER FFV AWD,3.3,6,16,23,19
2020,Ford Motor Company,EXPLORER HEV AWD,3.3,6,23,26,25
2020,General Motors,ACADIA AWD,2,4,21,27,23
2020,General Motors,ACADIA AWD,3.6,6,18,25,21
2020,General Motors,K1500 YUKON 4WD,5.3,8,15,21,17
2020,General Motors,K1500 YUKON 4WD,5.3,8,15,21,17
2020,General Motors,K1500 YUKON 4WD,6.2,8,14,22,17
2020,General Motors,K1500 YUKON XL 4WD,5.3,8,14,21,16
2020,General Motors,K1500 YUKON XL 4WD,5.3,8,14,21,16
2020,General Motors,K1500 YUKON XL 4WD,6.2,8,14,20,16
2020,Hyundai,Palisade AWD,3.8,6,19,24,21
2020,Nissan,QX80 4WD,5.6,8,13,19,15
2020,FCA US LLC,Grand Cherokee 4X4,3.6,6,18,25,21
2020,FCA US LLC,Grand Cherokee 4X4,5.7,8,14,22,17
2020,FCA US LLC,Grand Cherokee SRT 4x4,6.4,8,13,19,15
2020,FCA US LLC,Grand Cherokee Trackhawk 4x4,6.2,8,11,17,13
2020,Volkswagen Group of,Urus,4,8,12,17,14
2020,Jaguar Land Rover L,Defender 110,2,4,17,20,18
2020,Jaguar Land Rover L,Defender 110 MHEV,3,6,17,22,19
2020,Jaguar Land Rover L,Defender 90,2,4,18,21,19
2020,Jaguar Land Rover L,Defender 90 MHEV,3,6,17,22,19
2020,Jaguar Land Rover L,Discovery,3,6,21,26,23
2020,Jaguar Land Rover L,Discovery,3,6,16,21,18
2020,Jaguar Land Rover L,Range Rover,3,6,22,28,24
2020,Jaguar Land Rover L,Range Rover,5,8,16,21,18
2020,Jaguar Land Rover L,Range Rover LWB,5,8,16,21,18
2020,Jaguar Land Rover L,Range Rover LWB SVA,5,8,13,19,15
2020,Jaguar Land Rover L,Range Rover MHEV,3,6,19,24,21
2020,Jaguar Land Rover L,Range Rover Sport,3,6,22,28,24
2020,Jaguar Land Rover L,Range Rover Sport,5,8,17,22,19
2020,Jaguar Land Rover L,Range Rover Sport SVR,5,8,15,20,16
2020,Jaguar Land Rover L,Range Rover SVA,5,8,14,19,16
2020,Toyota,GX 460,4.6,8,15,19,16
2020,Toyota,LX 570,5.7,8,12,16,14
2020,Toyota,RX 450h AWD,3.5,6,31,28,30
2020,Toyota,RX 450hL AWD,3.5,6,29,28,29
2020,Ford Motor Company,AVIATOR AWD,3,6,17,24,20
2020,Ford Motor Company,NAVIGATOR 4WD,3.5,6,16,21,18
2020,Maserati,LEVANTE,3,6,15,21,17
2020,Maserati,LEVANTE GTS,3.8,8,14,18,15
2020,Maserati,LEVANTE S,3,6,15,21,17
2020,Maserati,LEVANTE TROFEO,3.8,8,14,18,15
2020,Mercedes-Benz,AMG G 63,4,8,13,15,14
2020,Mercedes-Benz,G 550,4,8,13,17,14
2020,Mercedes-Benz,GLE 450 4MATIC,3,6,19,24,21
2020,Mercedes-Benz,GLE 580 4MATIC,4,8,17,21,19
2020,Mercedes-Benz,GLS 450 4MATIC,3,6,19,23,21
2020,Mercedes-Benz,GLS 580 4MATIC,4,8,16,21,18
2020,Nissan,ARMADA 4WD,5.6,8,13,18,15
2020,Porsche,Cayenne,3,6,19,23,20
2020,Porsche,Cayenne Coupé,3,6,19,23,20
2020,Porsche,Cayenne S,2.9,6,18,22,20
2020,Porsche,Cayenne S Coupé,2.9,6,18,22,19
2020,Porsche,Cayenne Turbo,4,8,15,19,17
2020,Porsche,Cayenne Turbo Coupé,4,8,15,19,17
2020,Subaru,ASCENT AWD,2.4,4,21,27,23
2020,Subaru,ASCENT LIMITED/TOURING AWD,2.4,4,20,26,22
2020,Toyota,4RUNNER 4WD,4,6,16,19,17
2020,Toyota,4RUNNER 4WD,4,6,16,19,17
2020,Toyota,HIGHLANDER HYBRID AWD,2.5,4,35,35,35
2020,Toyota,HIGHLANDER HYBRID AWD LTD/PLAT,2.5,4,35,34,35
2020,Toyota,LAND CRUISER WAGON 4WD,5.7,8,13,17,14
2020,Toyota,SEQUOIA 4WD,5.7,8,13,17,14
2020,Volkswagen Group of,Atlas 4Motion,3.6,6,16,22,19
2020,Volvo,XC90 AWD,2,4,18,26,21
2020,Volvo,XC90 AWD,2,4,20,27,23
2020,Pagani Automobili S,Pagani Huayra Roadster BC,6,12,10,15,12
